question_id,category,question,expected_source,expected_page,mode,hit,mrr,retrieved_count,top_retrieved_source,top_retrieved_page
14,"Library, IT Services, and Security",What URL address is provided to search the University Library catalogue?,library_it_services_and_security_cs_handbook.pdf,Page 1,dense_only,1.0,0.5,4,general_information_cs_handbook.pdf,4
15,"Library, IT Services, and Security","Where is the Security Office located on campus, and what are its operating hours?",library_it_services_and_security_cs_handbook.pdf,Page 3,dense_only,1.0,1.0,4,library_it_services_and_security_cs_handbook.pdf,3
16,Programme Information,"How many total credits are required to be awarded a BSc, an MSci, and an MSc degree?",programme_information_cs_handbook.pdf,Page 1,dense_only,1.0,1.0,4,programme_information_cs_handbook.pdf,1
17,Programme Information,"How many total learning hours are expected for a 20-credit module, and what do these hours comprise?",programme_information_cs_handbook.pdf,Page 1,dense_only,1.0,1.0,4,programme_information_cs_handbook.pdf,1
18,Programme Information,What are the standard module pass marks for undergraduate and postgraduate programmes?,programme_information_cs_handbook.pdf,Page 1,dense_only,1.0,0.3333333333333333,4,programme_information_cs_handbook.pdf,3
19,Programme Information,"What is a 'repeat-only' module, and what two examples are given in the handbook?",programme_information_cs_handbook.pdf,Page 3,dense_only,1.0,0.5,4,programme_information_cs_handbook.pdf,4
20,Programme Information,"What is the default policy for late submission of coursework in the School of Computer Science, and what penalty applies if late submissions are explicitly allowed?",programme_information_cs_handbook.pdf,Page 5,dense_only,1.0,1.0,4,programme_information_cs_handbook.pdf,5
21,Programme Information,What is the expected timeframe for feedback return on mid-module assessments versus all other assessments?,programme_information_cs_handbook.pdf,Page 5,dense_only,1.0,1.0,4,programme_information_cs_handbook.pdf,5
22,Programme Information,How is the overall degree mark calculated across study years for a student undertaking a Study Abroad program?,programme_information_cs_handbook.pdf,Page 7,dense_only,1.0,1.0,4,programme_information_cs_handbook.pdf,7
23,Student Representation,"How many total students does the Guild of Students represent, and how many student groups does it house?",student_representation_cs_handbook.pdf,Pages 1–2,dense_only,1.0,1.0,4,student_representation_cs_handbook.pdf,2
24,Student Representation,Approximately how many Student Reps operate across the University of Birmingham?,student_representation_cs_handbook.pdf,Page 2,dense_only,1.0,1.0,4,student_representation_cs_handbook.pdf,2
25,Student Representation,What exact web address contains the agendas and minutes for the Staff Student Forums (SSFs)?,student_representation_cs_handbook.pdf,Page 3,dense_only,1.0,1.0,4,student_representation_cs_handbook.pdf,3
26,University Legislation,Explain how 'cohort legislation' determines which regulations apply to a student who entered in 2024-25 versus 2025-26.,university_legislation_cs_handbook.pdf,Page 2,dense_only,1.0,1.0,4,university_legislation_cs_handbook.pdf,2
27,University Legislation,"Where and when are details of extenuating circumstances considered to ensure student privacy, rather than at full Board of Examiners meetings?",university_legislation_cs_handbook.pdf,Page 4,dense_only,1.0,0.5,4,university_legislation_cs_handbook.pdf,17
28,University Legislation,"What rules apply regarding wristwatches, mobile phones, and coats during in-person campus examinations?",university_legislation_cs_handbook.pdf,Pages 12–13,dense_only,1.0,1.0,4,university_legislation_cs_handbook.pdf,12
29,University Legislation,What are three prohibited uses and three permitted uses of Generative AI during assessment preparation according to University policy?,university_legislation_cs_handbook.pdf,Page 15,dense_only,1.0,1.0,4,university_legislation_cs_handbook.pdf,15
30,University Legislation,What is the primary role of the two External Advisors on Academic Standards appointed by the University?,university_legislation_cs_handbook.pdf,Page 16,dense_only,1.0,1.0,4,university_legislation_cs_handbook.pdf,16
31,University Legislation,How do I request a deadline extension if I get sick?,programme_information_cs_handbook.pdf,Page 5,dense_only,1.0,1.0,3,programme_information_cs_handbook.pdf,5
32,University Legislation,Can I use automated software like ChatGPT to refine the logic and argument structure of my essay draft?,university_legislation_cs_handbook.pdf,Page 15,dense_only,1.0,1.0,4,university_legislation_cs_handbook.pdf,15
33,University Legislation,What happens if an invigilator catches a student with handwriting on their skin during an assessment?,university_legislation_cs_handbook.pdf,Page 13,dense_only,0.0,0.0,4,programme_information_cs_handbook.pdf,5
34,Programme Information,"How do second-chance tests work for undergrads who flunk a class, and what is the maximum grade cap?",programme_information_cs_handbook.pdf,Page 4,dense_only,1.0,0.5,4,programme_information_cs_handbook.pdf,3
35,"Academic, Wellbeing and Social Support","If a major family emergency or severe emotional crisis affects my studies, who handles my situation confidentially without me having to inform my professors first?",academic_wellbeing_and_social_support_cs_handbook.pdf,Page 2,dense_only,1.0,1.0,4,academic_wellbeing_and_social_support_cs_handbook.pdf,2
1,"Academic, Wellbeing and Social Support",Who are the Senior Tutors in the School of Computer Science and what are their email addresses?,academic_wellbeing_and_social_support_cs_handbook.pdf,Page 1,sparse_only,1.0,1.0,4,academic_wellbeing_and_social_support_cs_handbook.pdf,1
2,"Academic, Wellbeing and Social Support",What is the direct email address for contacting the Computer Science Wellbeing Officers?,academic_wellbeing_and_social_support_cs_handbook.pdf,Page 2,sparse_only,1.0,1.0,4,academic_wellbeing_and_social_support_cs_handbook.pdf,2
3,"Academic, Wellbeing and Social Support",What specific facility in the Main Library is highlighted for neurodiverse students to use for studying?,academic_wellbeing_and_social_support_cs_handbook.pdf,Page 4,sparse_only,1.0,1.0,4,academic_wellbeing_and_social_support_cs_handbook.pdf,4
4,"Academic, Wellbeing and Social Support","What Academic English support program is provided free of charge to international students by the Birmingham International Academy (BIA), and what is its contact email address?",academic_wellbeing_and_social_support_cs_handbook.pdf,Page 5,sparse_only,1.0,1.0,4,academic_wellbeing_and_social_support_cs_handbook.pdf,5
5,"Academic, Wellbeing and Social Support","What is the name of the student-led hacking club at the University of Birmingham, what is its website, and what primary topic do they cover weekly?",academic_wellbeing_and_social_support_cs_handbook.pdf,Page 7,sparse_only,1.0,1.0,4,academic_wellbeing_and_social_support_cs_handbook.pdf,7
6,"Academic, Wellbeing and Social Support",Where is the Multi-Faith Chaplaincy located on campus?,academic_wellbeing_and_social_support_cs_handbook.pdf,Page 8,sparse_only,1.0,1.0,4,academic_wellbeing_and_social_support_cs_handbook.pdf,8
7,General Information,"What is the room number, floor, and building location of the Education Support Office (ESO)?",general_information_cs_handbook.pdf,Page 3,sparse_only,1.0,1.0,4,general_information_cs_handbook.pdf,3
8,General Information,What are the contact email addresses for undergraduate and postgraduate taught (MSc) students to reach the Education Support Office (ESO)?,general_information_cs_handbook.pdf,Page 3,sparse_only,1.0,1.0,4,general_information_cs_handbook.pdf,3
9,General Information,What are the standard teaching hours on Wednesday and Friday during the UK University teaching week?,general_information_cs_handbook.pdf,Page 6,sparse_only,1.0,1.0,4,general_information_cs_handbook.pdf,6
10,General Information,What are the three study spaces/facilities mentioned within the Computer Science building that are dedicated or available to Computer Science students?,general_information_cs_handbook.pdf,Page 7,sparse_only,1.0,1.0,4,general_information_cs_handbook.pdf,7
11,General Information,"What is the maximum duration permitted for an Authorised Absence, and which group of students is eligible for it?",general_information_cs_handbook.pdf,Page 9,sparse_only,1.0,1.0,4,general_information_cs_handbook.pdf,9
12,General Information,What are the emergency and non-emergency telephone numbers for Security Services?,general_information_cs_handbook.pdf,Page 12,sparse_only,1.0,1.0,4,general_information_cs_handbook.pdf,12
13,"Library, IT Services, and Security",How many printed books/manuscripts and electronic books are accessible through Library Services?,library_it_services_and_security_cs_handbook.pdf,Page 1,sparse_only,1.0,1.0,4,library_it_services_and_security_cs_handbook.pdf,1
14,"Library, IT Services, and Security",What URL address is provided to search the University Library catalogue?,library_it_services_and_security_cs_handbook.pdf,Page 1,sparse_only,1.0,1.0,4,library_it_services_and_security_cs_handbook.pdf,1
15,"Library, IT Services, and Security","Where is the Security Office located on campus, and what are its operating hours?",library_it_services_and_security_cs_handbook.pdf,Page 3,sparse_only,1.0,1.0,4,library_it_services_and_security_cs_handbook.pdf,3
16,Programme Information,"How many total credits are required to be awarded a BSc, an MSci, and an MSc degree?",programme_information_cs_handbook.pdf,Page 1,sparse_only,1.0,1.0,4,programme_information_cs_handbook.pdf,1
17,Programme Information,"How many total learning hours are expected for a 20-credit module, and what do these hours comprise?",programme_information_cs_handbook.pdf,Page 1,sparse_only,1.0,1.0,4,programme_information_cs_handbook.pdf,1
18,Programme Information,What are the standard module pass marks for undergraduate and postgraduate programmes?,programme_information_cs_handbook.pdf,Page 1,sparse_only,1.0,0.25,4,programme_information_cs_handbook.pdf,2
19,Programme Information,"What is a 'repeat-only' module, and what two examples are given in the handbook?",programme_information_cs_handbook.pdf,Page 3,sparse_only,1.0,1.0,4,programme_information_cs_handbook.pdf,3
20,Programme Information,"What is the default policy for late submission of coursework in the School of Computer Science, and what penalty applies if late submissions are explicitly allowed?",programme_information_cs_handbook.pdf,Page 5,sparse_only,1.0,1.0,4,programme_information_cs_handbook.pdf,5
21,Programme Information,What is the expected timeframe for feedback return on mid-module assessments versus all other assessments?,programme_information_cs_handbook.pdf,Page 5,sparse_only,1.0,1.0,4,programme_information_cs_handbook.pdf,5
22,Programme Information,How is the overall degree mark calculated across study years for a student undertaking a Study Abroad program?,programme_information_cs_handbook.pdf,Page 7,sparse_only,1.0,1.0,4,programme_information_cs_handbook.pdf,7
23,Student Representation,"How many total students does the Guild of Students represent, and how many student groups does it house?",student_representation_cs_handbook.pdf,Pages 1–2,sparse_only,1.0,1.0,4,student_representation_cs_handbook.pdf,1
24,Student Representation,Approximately how many Student Reps operate across the University of Birmingham?,student_representation_cs_handbook.pdf,Page 2,sparse_only,1.0,0.5,4,general_information_cs_handbook.pdf,12
25,Student Representation,What exact web address contains the agendas and minutes for the Staff Student Forums (SSFs)?,student_representation_cs_handbook.pdf,Page 3,sparse_only,1.0,1.0,4,student_representation_cs_handbook.pdf,3
26,University Legislation,Explain how 'cohort legislation' determines which regulations apply to a student who entered in 2024-25 versus 2025-26.,university_legislation_cs_handbook.pdf,Page 2,sparse_only,1.0,1.0,4,university_legislation_cs_handbook.pdf,2
27,University Legislation,"Where and when are details of extenuating circumstances considered to ensure student privacy, rather than at full Board of Examiners meetings?",university_legislation_cs_handbook.pdf,Page 4,sparse_only,1.0,1.0,4,university_legislation_cs_handbook.pdf,4
28,University Legislation,"What rules apply regarding wristwatches, mobile phones, and coats during in-person campus examinations?",university_legislation_cs_handbook.pdf,Pages 12–13,sparse_only,1.0,0.3333333333333333,4,university_legislation_cs_handbook.pdf,11
29,University Legislation,What are three prohibited uses and three permitted uses of Generative AI during assessment preparation according to University policy?,university_legislation_cs_handbook.pdf,Page 15,sparse_only,1.0,1.0,4,university_legislation_cs_handbook.pdf,15
30,University Legislation,What is the primary role of the two External Advisors on Academic Standards appointed by the University?,university_legislation_cs_handbook.pdf,Page 16,sparse_only,1.0,1.0,4,university_legislation_cs_handbook.pdf,16
31,University Legislation,How do I request a deadline extension if I get sick?,programme_information_cs_handbook.pdf,Page 5,sparse_only,1.0,1.0,4,programme_information_cs_handbook.pdf,5
32,University Legislation,Can I use automated software like ChatGPT to refine the logic and argument structure of my essay draft?,university_legislation_cs_handbook.pdf,Page 15,sparse_only,0.0,0.0,4,university_legislation_cs_handbook.pdf,14
33,University Legislation,What happens if an invigilator catches a student with handwriting on their skin during an assessment?,university_legislation_cs_handbook.pdf,Page 13,sparse_only,1.0,1.0,4,university_legislation_cs_handbook.pdf,13
34,Programme Information,"How do second-chance tests work for undergrads who flunk a class, and what is the maximum grade cap?",programme_information_cs_handbook.pdf,Page 4,sparse_only,1.0,0.3333333333333333,4,university_legislation_cs_handbook.pdf,16
35,"Academic, Wellbeing and Social Support","If a major family emergency or severe emotional crisis affects my studies, who handles my situation confidentially without me having to inform my professors first?",academic_wellbeing_and_social_support_cs_handbook.pdf,Page 2,sparse_only,1.0,1.0,4,academic_wellbeing_and_social_support_cs_handbook.pdf,2
1,"Academic, Wellbeing and Social Support",Who are the Senior Tutors in the School of Computer Science and what are their email addresses?,academic_wellbeing_and_social_support_cs_handbook.pdf,Page 1,hybrid,1.0,0.5,4,general_information_cs_handbook.pdf,3
2,"Academic, Wellbeing and Social Support",What is the direct email address for contacting the Computer Science Wellbeing Officers?,academic_wellbeing_and_social_support_cs_handbook.pdf,Page 2,hybrid,1.0,1.0,4,academic_wellbeing_and_social_support_cs_handbook.pdf,2
3,"Academic, Wellbeing and Social Support",What specific facility in the Main Library is highlighted for neurodiverse students to use for studying?,academic_wellbeing_and_social_support_cs_handbook.pdf,Page 4,hybrid,1.0,1.0,4,academic_wellbeing_and_social_support_cs_handbook.pdf,4
4,"Academic, Wellbeing and Social Support","What Academic English support program is provided free of charge to international students by the Birmingham International Academy (BIA), and what is its contact email address?",academic_wellbeing_and_social_support_cs_handbook.pdf,Page 5,hybrid,1.0,1.0,4,academic_wellbeing_and_social_support_cs_handbook.pdf,5
5,"Academic, Wellbeing and Social Support","What is the name of the student-led hacking club at the University of Birmingham, what is its website, and what primary topic do they cover weekly?",academic_wellbeing_and_social_support_cs_handbook.pdf,Page 7,hybrid,1.0,0.5,4,student_representation_cs_handbook.pdf,2
6,"Academic, Wellbeing and Social Support",Where is the Multi-Faith Chaplaincy located on campus?,academic_wellbeing_and_social_support_cs_handbook.pdf,Page 8,hybrid,1.0,1.0,4,academic_wellbeing_and_social_support_cs_handbook.pdf,8
7,General Information,"What is the room number, floor, and building location of the Education Support Office (ESO)?",general_information_cs_handbook.pdf,Page 3,hybrid,1.0,1.0,4,general_information_cs_handbook.pdf,3
8,General Information,What are the contact email addresses for undergraduate and postgraduate taught (MSc) students to reach the Education Support Office (ESO)?,general_information_cs_handbook.pdf,Page 3,hybrid,1.0,1.0,4,general_information_cs_handbook.pdf,3
9,General Information,What are the standard teaching hours on Wednesday and Friday during the UK University teaching week?,general_information_cs_handbook.pdf,Page 6,hybrid,1.0,1.0,4,general_information_cs_handbook.pdf,6
10,General Information,What are the three study spaces/facilities mentioned within the Computer Science building that are dedicated or available to Computer Science students?,general_information_cs_handbook.pdf,Page 7,hybrid,1.0,1.0,4,general_information_cs_handbook.pdf,7
11,General Information,"What is the maximum duration permitted for an Authorised Absence, and which group of students is eligible for it?",general_information_cs_handbook.pdf,Page 9,hybrid,1.0,1.0,4,general_information_cs_handbook.pdf,9
12,General Information,What are the emergency and non-emergency telephone numbers for Security Services?,general_information_cs_handbook.pdf,Page 12,hybrid,1.0,1.0,4,general_information_cs_handbook.pdf,12
13,"Library, IT Services, and Security",How many printed books/manuscripts and electronic books are accessible through Library Services?,library_it_services_and_security_cs_handbook.pdf,Page 1,hybrid,1.0,1.0,4,library_it_services_and_security_cs_handbook.pdf,1
14,"Library, IT Services, and Security",What URL address is provided to search the University Library catalogue?,library_it_services_and_security_cs_handbook.pdf,Page 1,hybrid,1.0,1.0,4,library_it_services_and_security_cs_handbook.pdf,1
15,"Library, IT Services, and Security","Where is the Security Office located on campus, and what are its operating hours?",library_it_services_and_security_cs_handbook.pdf,Page 3,hybrid,1.0,1.0,4,library_it_services_and_security_cs_handbook.pdf,3
16,Programme Information,"How many total credits are required to be awarded a BSc, an MSci, and an MSc degree?",programme_information_cs_handbook.pdf,Page 1,hybrid,1.0,1.0,4,programme_information_cs_handbook.pdf,1
17,Programme Information,"How many total learning hours are expected for a 20-credit module, and what do these hours comprise?",programme_information_cs_handbook.pdf,Page 1,hybrid,1.0,1.0,4,programme_information_cs_handbook.pdf,1
18,Programme Information,What are the standard module pass marks for undergraduate and postgraduate programmes?,programme_information_cs_handbook.pdf,Page 1,hybrid,1.0,0.25,4,programme_information_cs_handbook.pdf,2
19,Programme Information,"What is a 'repeat-only' module, and what two examples are given in the handbook?",programme_information_cs_handbook.pdf,Page 3,hybrid,1.0,1.0,4,programme_information_cs_handbook.pdf,3
20,Programme Information,"What is the default policy for late submission of coursework in the School of Computer Science, and what penalty applies if late submissions are explicitly allowed?",programme_information_cs_handbook.pdf,Page 5,hybrid,1.0,1.0,4,programme_information_cs_handbook.pdf,5
21,Programme Information,What is the expected timeframe for feedback return on mid-module assessments versus all other assessments?,programme_information_cs_handbook.pdf,Page 5,hybrid,1.0,1.0,4,programme_information_cs_handbook.pdf,5
22,Programme Information,How is the overall degree mark calculated across study years for a student undertaking a Study Abroad program?,programme_information_cs_handbook.pdf,Page 7,hybrid,1.0,1.0,4,programme_information_cs_handbook.pdf,7
23,Student Representation,"How many total students does the Guild of Students represent, and how many student groups does it house?",student_representation_cs_handbook.pdf,Pages 1–2,hybrid,1.0,1.0,4,student_representation_cs_handbook.pdf,1
24,Student Representation,Approximately how many Student Reps operate across the University of Birmingham?,student_representation_cs_handbook.pdf,Page 2,hybrid,1.0,1.0,4,student_representation_cs_handbook.pdf,2
25,Student Representation,What exact web address contains the agendas and minutes for the Staff Student Forums (SSFs)?,student_representation_cs_handbook.pdf,Page 3,hybrid,1.0,1.0,4,student_representation_cs_handbook.pdf,3
26,University Legislation,Explain how 'cohort legislation' determines which regulations apply to a student who entered in 2024-25 versus 2025-26.,university_legislation_cs_handbook.pdf,Page 2,hybrid,1.0,1.0,4,university_legislation_cs_handbook.pdf,2
27,University Legislation,"Where and when are details of extenuating circumstances considered to ensure student privacy, rather than at full Board of Examiners meetings?",university_legislation_cs_handbook.pdf,Page 4,hybrid,1.0,1.0,4,university_legislation_cs_handbook.pdf,4
28,University Legislation,"What rules apply regarding wristwatches, mobile phones, and coats during in-person campus examinations?",university_legislation_cs_handbook.pdf,Pages 12–13,hybrid,1.0,0.5,4,university_legislation_cs_handbook.pdf,11
29,University Legislation,What are three prohibited uses and three permitted uses of Generative AI during assessment preparation according to University policy?,university_legislation_cs_handbook.pdf,Page 15,hybrid,1.0,1.0,4,university_legislation_cs_handbook.pdf,15
30,University Legislation,What is the primary role of the two External Advisors on Academic Standards appointed by the University?,university_legislation_cs_handbook.pdf,Page 16,hybrid,1.0,1.0,4,university_legislation_cs_handbook.pdf,16
31,University Legislation,How do I request a deadline extension if I get sick?,programme_information_cs_handbook.pdf,Page 5,hybrid,1.0,1.0,4,programme_information_cs_handbook.pdf,5
32,University Legislation,Can I use automated software like ChatGPT to refine the logic and argument structure of my essay draft?,university_legislation_cs_handbook.pdf,Page 15,hybrid,1.0,0.5,4,university_legislation_cs_handbook.pdf,14
33,University Legislation,What happens if an invigilator catches a student with handwriting on their skin during an assessment?,university_legislation_cs_handbook.pdf,Page 13,hybrid,1.0,1.0,4,university_legislation_cs_handbook.pdf,13
34,Programme Information,"How do second-chance tests work for undergrads who flunk a class, and what is the maximum grade cap?",programme_information_cs_handbook.pdf,Page 4,hybrid,1.0,1.0,4,programme_information_cs_handbook.pdf,4
35,"Academic, Wellbeing and Social Support","If a major family emergency or severe emotional crisis affects my studies, who handles my situation confidentially without me having to inform my professors first?",academic_wellbeing_and_social_support_cs_handbook.pdf,Page 2,hybrid,1.0,1.0,4,academic_wellbeing_and_social_support_cs_handbook.pdf,2
